Year,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
1981,West,A.L.,Team [Click for roster],Strike Splits,Wins,Losses,WP,GB
1985,West,A.L.,Team | Roster,W,L,WP,GB,Payroll
2003,East,New York Yankees,101,61,1,.623,--,"$152,749,814"
2003,East,Boston Red Sox,95,67,0,.586,6,"$99,946,500"
2003,East,Toronto Blue Jays,86,76,0,.531,15,"$51,269,000"
2003,East,Baltimore Orioles,71,91,1,.438,30,"$73,877,500"
2003,East,Tampa Bay Devil Rays,63,99,0,.389,38,"$19,630,000"
2003,Central,Minnesota Twins,90,72,0,.556,--,"$55,505,000"
2003,Central,Chicago White Sox,86,76,0,.531,4,"$51,010,000"
2003,Central,Kansas City Royals,83,79,0,.512,7,"$40,518,000"
2003,Central,Cleveland Indians,68,94,0,.420,22,"$48,584,834"
2003,Central,Detroit Tigers,43,119,0,.265,47,"$49,168,000"
2003,West,Oakland Athletics,96,66,0,.593,--,"$50,260,834"
2003,West,Seattle Mariners,93,69,0,.574,3,"$86,959,167"
2003,West,Anaheim Angels,77,85,0,.475,19,"$79,031,667"
2003,West,Texas Rangers,71,91,0,.438,25,"$103,491,667"
2004,East,New York Yankees,101,61,0,.623,--,"$182,835,513"
2004,East,Boston Red Sox,98,64,0,.605,3,"$125,208,542"
2004,East,Baltimore Orioles,78,84,0,.481,23,"$51,212,653"
2004,East,Tampa Bay Devil Rays,70,91,0,.435,30½,"$29,506,667"
2004,East,Toronto Blue Jays,67,94,0,.416,33½,"$50,017,000"
2004,Central,Minnesota Twins,92,70,0,.568,--,"$53,585,000"
2004,Central,Chicago White Sox,83,79,0,.512,9,"$76,212,500"
2004,Central,Cleveland Indians,80,82,0,.494,12,"$34,569,300"
2004,Central,Detroit Tigers,72,90,0,.444,20,"$46,353,554"
2004,Central,Kansas City Royals,58,104,0,.358,34,"$47,609,000"
2004,West,Anaheim Angels,92,70,0,.568,--,"$101,084,667"
2004,West,Oakland Athletics,91,71,0,.562,1,"$59,825,167"
2004,West,Texas Rangers,89,73,0,.549,3,"$54,825,973"
2004,West,Seattle Mariners,63,99,0,.389,29,"$81,543,833"
2005,East,New York Yankees,95,67,0,.586,--,"$208,206,817"
2005,East,Boston Red Sox,95,67,0,.586,--,"$123,505,125"
2005,East,Toronto Blue Jays,80,82,0,.494,15,"$45,719,500"
2005,East,Baltimore Orioles,74,88,0,.457,21,"$73,914,333"
2005,East,Tampa Bay Devil Rays,67,95,0,.414,28,"$29,363,067"
2005,Central,Chicago White Sox,99,63,0,.611,--,"$75,178,000"
2005,Central,Cleveland Indians,93,69,0,.574,6,"$41,502,500"
2005,Central,Minnesota Twins,83,79,0,.512,16,"$56,186,000"
2005,Central,Detroit Tigers,71,91,0,.438,28,"$69,092,000"
2005,Central,Kansas City Royals,56,106,0,.346,43,"$36,881,000"
2005,West,Los Angeles Angels of Anaheim,95,67,0,.586,--,"$97,725,322"
2005,West,Oakland Athletics,88,74,0,.543,7,"$55,425,762"
2005,West,Texas Rangers,79,83,0,.488,16,"$55,849,000"
2005,West,Seattle Mariners,69,93,0,.426,26,"$87,754,334"
2006,East,New York Yankees,97,65,0,.599,--,"$194,663,079"
2006,East,Toronto Blue Jays,87,75,0,.537,10,"$71,915,000"
2006,East,Boston Red Sox,86,76,0,.531,11,"$120,099,824"
