Year,Division,Team,Wins,Losses,Ties,WP,GB,Payroll,Games_Played,WP_Calculated,WP_Diff
2003,Central,Minnesota Twins,90.0,72.0,0.0,0.556,,55505000.0,162.0,0.5555555555555556,0.0004444444444444695
2003,Central,Chicago White Sox,86.0,76.0,0.0,0.531,4.0,51010000.0,162.0,0.5308641975308642,0.00013580246913580396
2003,Central,Kansas City Royals,83.0,79.0,0.0,0.512,7.0,40518000.0,162.0,0.5123456790123457,0.0003456790123457232
2003,Central,Cleveland Indians,68.0,94.0,0.0,0.42,22.0,48584834.0,162.0,0.41975308641975306,0.00024691358024692134
2003,Central,Detroit Tigers,43.0,119.0,0.0,0.265,47.0,49168000.0,162.0,0.2654320987654321,0.00043209876543209846
2003,East,New York Yankees,101.0,61.0,1.0,0.623,,152749814.0,163.0,0.6196319018404908,0.003368098159509225
2003,East,Boston Red Sox,95.0,67.0,0.0,0.586,6.0,99946500.0,162.0,0.5864197530864198,0.00041975308641983844
2003,East,Toronto Blue Jays,86.0,76.0,0.0,0.531,15.0,51269000.0,162.0,0.5308641975308642,0.00013580246913580396
2003,East,Baltimore Orioles,71.0,91.0,1.0,0.438,30.0,73877500.0,163.0,0.43558282208588955,0.0024171779141104466
2003,East,Tampa Bay Devil Rays,63.0,99.0,0.0,0.389,38.0,19630000.0,162.0,0.3888888888888889,0.00011111111111111738
2003,West,Oakland Athletics,96.0,66.0,0.0,0.593,,50260834.0,162.0,0.5925925925925926,0.0004074074074074119
2003,West,Seattle Mariners,93.0,69.0,0.0,0.574,3.0,86959167.0,162.0,0.5740740740740741,7.407407407411526e-05
2003,West,Anaheim Angels,77.0,85.0,0.0,0.475,19.0,79031667.0,162.0,0.47530864197530864,0.00030864197530866555
2003,West,Texas Rangers,71.0,91.0,0.0,0.438,25.0,103491667.0,162.0,0.4382716049382716,0.0002716049382716079
2004,Central,Minnesota Twins,92.0,70.0,0.0,0.568,,53585000.0,162.0,0.5679012345679012,9.876543209874633e-05
2004,Central,Chicago White Sox,83.0,79.0,0.0,0.512,9.0,76212500.0,162.0,0.5123456790123457,0.0003456790123457232
2004,Central,Cleveland Indians,80.0,82.0,0.0,0.494,12.0,34569300.0,162.0,0.49382716049382713,0.0001728395061728616
2004,Central,Detroit Tigers,72.0,90.0,0.0,0.444,20.0,46353554.0,162.0,0.4444444444444444,0.000444444444444414
2004,Central,Kansas City Royals,58.0,104.0,0.0,0.358,34.0,47609000.0,162.0,0.35802469135802467,2.4691358024686583e-05
2004,East,New York Yankees,101.0,61.0,0.0,0.623,,182835513.0,162.0,0.6234567901234568,0.00045679012345678505
2004,East,Boston Red Sox,98.0,64.0,0.0,0.605,3.0,125208542.0,162.0,0.6049382716049383,6.17283950616887e-05
2004,East,Baltimore Orioles,78.0,84.0,0.0,0.481,23.0,51212653.0,162.0,0.48148148148148145,0.00048148148148147163
2004,East,Tampa Bay Devil Rays,70.0,91.0,0.0,0.435,,29506667.0,161.0,0.43478260869565216,0.00021739130434783593
2004,East,Toronto Blue Jays,67.0,94.0,0.0,0.416,,50017000.0,161.0,0.4161490683229814,0.00014906832298139383
2004,West,Anaheim Angels,92.0,70.0,0.0,0.568,,101084667.0,162.0,0.5679012345679012,9.876543209874633e-05
2004,West,Oakland Athletics,91.0,71.0,0.0,0.562,1.0,59825167.0,162.0,0.5617283950617284,0.0002716049382716079
2004,West,Texas Rangers,89.0,73.0,0.0,0.549,3.0,54825973.0,162.0,0.5493827160493827,0.0003827160493826698
2004,West,Seattle Mariners,63.0,99.0,0.0,0.389,29.0,81543833.0,162.0,0.3888888888888889,0.00011111111111111738
2005,Central,Chicago White Sox,99.0,63.0,0.0,0.611,,75178000.0,162.0,0.6111111111111112,0.00011111111111117289
2005,Central,Cleveland Indians,93.0,69.0,0.0,0.574,6.0,41502500.0,162.0,0.5740740740740741,7.407407407411526e-05
2005,Central,Minnesota Twins,83.0,79.0,0.0,0.512,16.0,56186000.0,162.0,0.5123456790123457,0.0003456790123457232
2005,Central,Detroit Tigers,71.0,91.0,0.0,0.438,28.0,69092000.0,162.0,0.4382716049382716,0.0002716049382716079
2005,Central,Kansas City Royals,56.0,106.0,0.0,0.346,43.0,36881000.0,162.0,0.345679012345679,0.0003209876543209811
2005,East,New York Yankees,95.0,67.0,0.0,0.586,,208206817.0,162.0,0.5864197530864198,0.00041975308641983844
2005,East,Boston Red Sox,95.0,67.0,0.0,0.586,,123505125.0,162.0,0.5864197530864198,0.00041975308641983844
2005,East,Toronto Blue Jays,80.0,82.0,0.0,0.494,15.0,45719500.0,162.0,0.49382716049382713,0.0001728395061728616
2005,East,Baltimore Orioles,74.0,88.0,0.0,0.457,21.0,73914333.0,162.0,0.4567901234567901,0.00020987654320991922
2005,East,Tampa Bay Devil Rays,67.0,95.0,0.0,0.414,28.0,29363067.0,162.0,0.41358024691358025,0.0004197530864197274
2005,West,Los Angeles Angels of Anaheim,95.0,67.0,0.0,0.586,,97725322.0,162.0,0.5864197530864198,0.00041975308641983844
2005,West,Oakland Athletics,88.0,74.0,0.0,0.543,7.0,55425762.0,162.0,0.5432098765432098,0.0002098765432098082
2005,West,Texas Rangers,79.0,83.0,0.0,0.488,16.0,55849000.0,162.0,0.4876543209876543,0.00034567901234566767
2005,West,Seattle Mariners,69.0,93.0,0.0,0.426,26.0,87754334.0,162.0,0.42592592592592593,7.407407407405975e-05
2006,Central,Minnesota Twins,96.0,66.0,0.0,0.593,,63396006.0,162.0,0.5925925925925926,0.0004074074074074119
2006,Central,Detroit Tigers,95.0,67.0,0.0,0.586,1.0,82612866.0,162.0,0.5864197530864198,0.00041975308641983844
2006,Central,Chicago White Sox,90.0,72.0,0.0,0.556,6.0,102750667.0,162.0,0.5555555555555556,0.0004444444444444695
2006,Central,Cleveland Indians,78.0,84.0,0.0,0.481,18.0,56031500.0,162.0,0.48148148148148145,0.00048148148148147163
2006,Central,Kansas City Royals,62.0,100.0,0.0,0.383,34.0,47294000.0,162.0,0.38271604938271603,0.00028395061728397897
2006,East,New York Yankees,97.0,65.0,0.0,0.599,,194663079.0,162.0,0.5987654320987654,0.0002345679012345503
2006,East,Toronto Blue Jays,87.0,75.0,0.0,0.537,10.0,71915000.0,162.0,0.5370370370370371,3.703703703705763e-05
2006,East,Boston Red Sox,86.0,76.0,0.0,0.531,11.0,120099824.0,162.0,0.5308641975308642,0.00013580246913580396
2006,East,Baltimore Orioles,70.0,92.0,0.0,0.432,27.0,72585582.0,162.0,0.43209876543209874,9.876543209874633e-05
2006,East,Tampa Bay Devil Rays,61.0,101.0,0.0,0.377,36.0,35417967.0,162.0,0.3765432098765432,0.00045679012345678505
2006,West,Oakland Athletics,93.0,69.0,0.0,0.574,,62243079.0,162.0,0.5740740740740741,7.407407407411526e-05
2006,West,Los Angeles Angels,89.0,73.0,0.0,0.549,4.0,103472000.0,162.0,0.5493827160493827,0.0003827160493826698
2006,West,Texas Rangers,80.0,82.0,0.0,0.494,13.0,68228662.0,162.0,0.49382716049382713,0.0001728395061728616
2006,West,Seattle Mariners,78.0,84.0,0.0,0.481,15.0,87959833.0,162.0,0.48148148148148145,0.00048148148148147163
2007,Central,Cleveland Indians,96.0,66.0,0.0,0.593,,61673267.0,162.0,0.5925925925925926,0.0004074074074074119
2007,Central,Detroit Tigers,88.0,74.0,0.0,0.543,8.0,95180369.0,162.0,0.5432098765432098,0.0002098765432098082
2007,Central,Minnesota Twins,79.0,83.0,0.0,0.488,17.0,71439500.0,162.0,0.4876543209876543,0.00034567901234566767
2007,Central,Chicago White Sox,72.0,90.0,0.0,0.444,24.0,108671833.0,162.0,0.4444444444444444,0.000444444444444414
2007,Central,Kansas City Royals,69.0,93.0,0.0,0.426,27.0,67116500.0,162.0,0.42592592592592593,7.407407407405975e-05
2007,East,Boston Red Sox,96.0,66.0,0.0,0.593,,143026214.0,162.0,0.5925925925925926,0.0004074074074074119
2007,East,New York Yankees,94.0,68.0,0.0,0.58,2.0,189639045.0,162.0,0.5802469135802469,0.00024691358024697685
2007,East,Toronto Blue Jays,83.0,79.0,0.0,0.512,13.0,81942800.0,162.0,0.5123456790123457,0.0003456790123457232
2007,East,Baltimore Orioles,69.0,93.0,0.0,0.426,27.0,93554808.0,162.0,0.42592592592592593,7.407407407405975e-05
2007,East,Tampa Bay Devil Rays,66.0,96.0,0.0,0.407,30.0,24123500.0,162.0,0.4074074074074074,0.0004074074074074119
2007,West,Los Angeles Angels,94.0,68.0,0.0,0.58,,109251333.0,162.0,0.5802469135802469,0.00024691358024697685
2007,West,Seattle Mariners,88.0,74.0,0.0,0.543,6.0,106460833.0,162.0,0.5432098765432098,0.0002098765432098082
2007,West,Oakland Athletics,76.0,86.0,0.0,0.469,18.0,79366940.0,162.0,0.4691358024691358,0.00013580246913580396
2007,West,Texas Rangers,75.0,87.0,0.0,0.463,19.0,68318675.0,162.0,0.46296296296296297,3.703703703705763e-05
2008,Central,Chicago White Sox,89.0,74.0,0.0,0.546,,121152667.0,163.0,0.5460122699386503,1.22699386502223e-05
2008,Central,Minnesota Twins,88.0,75.0,0.0,0.54,1.0,62182767.0,163.0,0.5398773006134969,0.00012269938650311119
2008,Central,Cleveland Indians,81.0,81.0,0.0,0.5,,78970067.0,162.0,0.5,0.0
2008,Central,Kansas City Royals,75.0,87.0,0.0,0.463,,58245500.0,162.0,0.46296296296296297,3.703703703705763e-05
2008,Central,Detroit Tigers,74.0,88.0,0.0,0.457,,138685197.0,162.0,0.4567901234567901,0.00020987654320991922
2008,East,Tampa Bay Rays,97.0,65.0,0.0,0.599,,43820598.0,162.0,0.5987654320987654,0.0002345679012345503
2008,East,Boston Red Sox,95.0,67.0,0.0,0.586,2.0,133440037.0,162.0,0.5864197530864198,0.00041975308641983844
2008,East,New York Yankees,89.0,73.0,0.0,0.549,8.0,209081579.0,162.0,0.5493827160493827,0.0003827160493826698
2008,East,Toronto Blue Jays,86.0,76.0,0.0,0.531,11.0,98641957.0,162.0,0.5308641975308642,0.00013580246913580396
